nginx-1  | 172.19.0.1 - GET /npm HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=- uri="/npm" args="-"
nginx-1  | 172.19.0.1 - GET /zone.js/-/zone.js-0.15.1.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/zone.js/-/zone.js-0.15.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /yargs-parser/-/yargs-parser-22.0.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/yargs-parser/-/yargs-parser-22.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /wrap-ansi/-/wrap-ansi-7.0.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/wrap-ansi/-/wrap-ansi-7.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /vite/-/vite-7.1.2.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/vite/-/vite-7.1.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /yoctocolors-cjs/-/yoctocolors-cjs-2.1.3.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/yoctocolors-cjs/-/yoctocolors-cjs-2.1.3.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /yargs/-/yargs-18.0.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/yargs/-/yargs-18.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /yallist/-/yallist-3.1.1.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/yallist/-/yallist-3.1.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /y18n/-/y18n-5.0.8.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/y18n/-/y18n-5.0.8.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /watchpack/-/watchpack-2.4.4.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/watchpack/-/watchpack-2.4.4.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /zod-to-json-schema/-/zod-to-json-schema-3.25.2.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/zod-to-json-schema/-/zod-to-json-schema-3.25.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /validate-npm-package-name/-/validate-npm-package-name-6.0.2.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/validate-npm-package-name/-/validate-npm-package-name-6.0.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /wrap-ansi/-/wrap-ansi-6.2.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/wrap-ansi/-/wrap-ansi-6.2.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /wrappy/-/wrappy-1.0.2.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/wrappy/-/wrappy-1.0.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /which/-/which-2.0.2.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/which/-/which-2.0.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /vary/-/vary-1.1.2.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/vary/-/vary-1.1.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /unpipe/-/unpipe-1.0.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/unpipe/-/unpipe-1.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /update-browserslist-db/-/update-browserslist-db-1.2.3.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/update-browserslist-db/-/update-browserslist-db-1.2.3.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /validate-npm-package-license/-/validate-npm-package-license-3.0.4.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/validate-npm-package-license/-/validate-npm-package-license-3.0.4.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /unique-filename/-/unique-filename-4.0.0.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/unique-filename/-/unique-filename-4.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /weak-lru-cache/-/weak-lru-cache-1.2.2.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/weak-lru-cache/-/weak-lru-cache-1.2.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /tar/-/tar-6.2.1.tgz HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=MISS uri="/tar/-/tar-6.2.1.tgz" args="-"
