registry-1  | [registry] 2026-06-10T01:47:11.786Z GET /npm auth=absent
registry-1  | [registry-upstream] GET /npm status=200 bytes=2402079
registry-1  | [registry] 2026-06-10T01:47:12.579Z GET /zone.js/-/zone.js-0.15.1.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.581Z GET /zod-to-json-schema/-/zod-to-json-schema-3.25.2.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.585Z GET /zod/-/zod-3.25.76.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.589Z GET /yoctocolors-cjs/-/yoctocolors-cjs-2.1.3.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.592Z GET /yargs-parser/-/yargs-parser-22.0.0.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.594Z GET /yargs/-/yargs-18.0.0.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.597Z GET /yallist/-/yallist-3.1.1.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.601Z GET /y18n/-/y18n-5.0.8.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.605Z GET /wrappy/-/wrappy-1.0.2.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.609Z GET /wrap-ansi/-/wrap-ansi-7.0.0.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.612Z GET /wrap-ansi/-/wrap-ansi-6.2.0.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.613Z GET /which/-/which-2.0.2.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.618Z GET /watchpack/-/watchpack-2.4.4.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.621Z GET /vary/-/vary-1.1.2.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.625Z GET /validate-npm-package-name/-/validate-npm-package-name-6.0.2.tgz auth=absent
registry-1  | [registry-upstream] GET /zone.js/-/zone.js-0.15.1.tgz status=200 bytes=432763
registry-1  | [registry] 2026-06-10T01:47:12.670Z GET /vite/-/vite-7.1.2.tgz auth=absent
registry-1  | [registry-upstream] GET /vite/-/vite-7.1.2.tgz status=200 bytes=542842
registry-1  | [registry-upstream] GET /yargs-parser/-/yargs-parser-22.0.0.tgz status=200 bytes=21743
registry-1  | [registry-upstream] GET /wrap-ansi/-/wrap-ansi-7.0.0.tgz status=200 bytes=4317
registry-1  | [registry-upstream] GET /yoctocolors-cjs/-/yoctocolors-cjs-2.1.3.tgz status=200 bytes=4092
registry-1  | [registry-upstream] GET /yargs/-/yargs-18.0.0.tgz status=200 bytes=47876
registry-1  | [registry-upstream] GET /yallist/-/yallist-3.1.1.tgz status=200 bytes=4496
registry-1  | [registry-upstream] GET /y18n/-/y18n-5.0.8.tgz status=200 bytes=6157
registry-1  | [registry-upstream] GET /watchpack/-/watchpack-2.4.4.tgz status=200 bytes=14544
registry-1  | [registry-upstream] GET /zod-to-json-schema/-/zod-to-json-schema-3.25.2.tgz status=200 bytes=46362
registry-1  | [registry-upstream] GET /validate-npm-package-name/-/validate-npm-package-name-6.0.2.tgz status=200 bytes=3223
registry-1  | [registry-upstream] GET /wrap-ansi/-/wrap-ansi-6.2.0.tgz status=200 bytes=4004
registry-1  | [registry-upstream] GET /wrappy/-/wrappy-1.0.2.tgz status=200 bytes=1676
registry-1  | [registry-upstream] GET /which/-/which-2.0.2.tgz status=200 bytes=4496
registry-1  | [registry-upstream] GET /vary/-/vary-1.1.2.tgz status=200 bytes=3772
registry-1  | [registry] 2026-06-10T01:47:12.776Z GET /validate-npm-package-license/-/validate-npm-package-license-3.0.4.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.777Z GET /weak-lru-cache/-/weak-lru-cache-1.2.2.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.777Z GET /update-browserslist-db/-/update-browserslist-db-1.2.3.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.778Z GET /unpipe/-/unpipe-1.0.0.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.778Z GET /unique-slug/-/unique-slug-5.0.0.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.779Z GET /typescript/-/typescript-5.9.2.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.780Z GET /unique-filename/-/unique-filename-4.0.0.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.781Z GET /uri-js/-/uri-js-4.4.1.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.782Z GET /type-is/-/type-is-2.1.0.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.783Z GET /tslib/-/tslib-2.8.1.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.786Z GET /tuf-js/-/tuf-js-3.1.0.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.788Z GET /tar/-/tar-6.2.1.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.791Z GET /tinyglobby/-/tinyglobby-0.2.14.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.792Z GET /supports-preserve-symlinks-flag/-/supports-preserve-symlinks-flag-1.0.0.tgz auth=absent
registry-1  | [registry-upstream] GET /unpipe/-/unpipe-1.0.0.tgz status=200 bytes=2096
registry-1  | [registry-upstream] GET /update-browserslist-db/-/update-browserslist-db-1.2.3.tgz status=200 bytes=5240
registry-1  | [registry-upstream] GET /validate-npm-package-license/-/validate-npm-package-license-3.0.4.tgz status=200 bytes=5675
registry-1  | [registry-upstream] GET /unique-filename/-/unique-filename-4.0.0.tgz status=200 bytes=1852
registry-1  | [registry] 2026-06-10T01:47:12.825Z GET /toidentifier/-/toidentifier-1.0.1.tgz auth=absent
registry-1  | [registry-upstream] GET /weak-lru-cache/-/weak-lru-cache-1.2.2.tgz status=200 bytes=7261
registry-1  | [registry-upstream] GET /tar/-/tar-6.2.1.tgz status=200 bytes=42735
registry-1  | [registry-upstream] GET /unique-slug/-/unique-slug-5.0.0.tgz status=200 bytes=1553
registry-1  | [registry] 2026-06-10T01:47:12.847Z GET /strip-ansi/-/strip-ansi-6.0.1.tgz auth=absent
registry-1  | [registry-upstream] GET /zod/-/zod-3.25.76.tgz status=200 bytes=583600
registry-1  | [registry-upstream] GET /tinyglobby/-/tinyglobby-0.2.14.tgz status=200 bytes=6987
registry-1  | [registry-upstream] GET /tslib/-/tslib-2.8.1.tgz status=200 bytes=18477
registry-1  | [registry-upstream] GET /tuf-js/-/tuf-js-3.1.0.tgz status=200 bytes=10465
registry-1  | [registry-upstream] GET /supports-preserve-symlinks-flag/-/supports-preserve-symlinks-flag-1.0.0.tgz status=200 bytes=3810
registry-1  | [registry-upstream] GET /type-is/-/type-is-2.1.0.tgz status=200 bytes=6752
registry-1  | [registry] 2026-06-10T01:47:12.869Z GET /string-width/-/string-width-4.2.3.tgz auth=absent
registry-1  | [registry-upstream] GET /toidentifier/-/toidentifier-1.0.1.tgz status=200 bytes=2347
registry-1  | [registry-upstream] GET /uri-js/-/uri-js-4.4.1.tgz status=200 bytes=132003
registry-1  | [registry] 2026-06-10T01:47:12.876Z GET /stdin-discarder/-/stdin-discarder-0.2.2.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.880Z GET /strip-ansi/-/strip-ansi-7.2.0.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.880Z GET /statuses/-/statuses-2.0.2.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.881Z GET /string-width/-/string-width-7.2.0.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.883Z GET /ssri/-/ssri-12.0.0.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.884Z GET /spdx-license-ids/-/spdx-license-ids-3.0.23.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.886Z GET /spdx-expression-parse/-/spdx-expression-parse-3.0.1.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.887Z GET /spdx-exceptions/-/spdx-exceptions-2.5.0.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.891Z GET /spdx-correct/-/spdx-correct-3.2.0.tgz auth=absent
registry-1  | [registry-upstream] GET /strip-ansi/-/strip-ansi-6.0.1.tgz status=200 bytes=2041
registry-1  | [registry] 2026-06-10T01:47:12.893Z GET /source-map-support/-/source-map-support-0.5.21.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.895Z GET /source-map-js/-/source-map-js-1.2.1.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.898Z GET /socks-proxy-agent/-/socks-proxy-agent-8.0.5.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.905Z GET /source-map/-/source-map-0.7.6.tgz auth=absent
registry-1  | [registry-upstream] GET /string-width/-/string-width-4.2.3.tgz status=200 bytes=2383
registry-1  | [registry-upstream] GET /spdx-expression-parse/-/spdx-expression-parse-3.0.1.tgz status=200 bytes=4427
registry-1  | [registry] 2026-06-10T01:47:12.921Z GET /socks/-/socks-2.8.9.tgz auth=absent
registry-1  | [registry-upstream] GET /strip-ansi/-/strip-ansi-7.2.0.tgz status=200 bytes=2156
registry-1  | [registry-upstream] GET /statuses/-/statuses-2.0.2.tgz status=200 bytes=4797
registry-1  | [registry-upstream] GET /stdin-discarder/-/stdin-discarder-0.2.2.tgz status=200 bytes=2072
registry-1  | [registry-upstream] GET /spdx-license-ids/-/spdx-license-ids-3.0.23.tgz status=200 bytes=4929
registry-1  | [registry-upstream] GET /string-width/-/string-width-7.2.0.tgz status=200 bytes=2989
registry-1  | [registry] 2026-06-10T01:47:12.929Z GET /slice-ansi/-/slice-ansi-5.0.0.tgz auth=absent
registry-1  | [registry-upstream] GET /ssri/-/ssri-12.0.0.tgz status=200 bytes=11552
registry-1  | [registry] 2026-06-10T01:47:12.934Z GET /signal-exit/-/signal-exit-4.1.0.tgz auth=absent
registry-1  | [registry-upstream] GET /spdx-exceptions/-/spdx-exceptions-2.5.0.tgz status=200 bytes=1621
registry-1  | [registry] 2026-06-10T01:47:12.936Z GET /smart-buffer/-/smart-buffer-4.2.0.tgz auth=absent
registry-1  | [registry-upstream] GET /source-map-support/-/source-map-support-0.5.21.tgz status=200 bytes=26650
registry-1  | [registry-upstream] GET /spdx-correct/-/spdx-correct-3.2.0.tgz status=200 bytes=7240
registry-1  | [registry] 2026-06-10T01:47:12.940Z GET /side-channel-weakmap/-/side-channel-weakmap-1.0.2.tgz auth=absent
registry-1  | [registry-upstream] GET /source-map-js/-/source-map-js-1.2.1.tgz status=200 bytes=35340
registry-1  | [registry-upstream] GET /socks-proxy-agent/-/socks-proxy-agent-8.0.5.tgz status=200 bytes=6814
registry-1  | [registry] 2026-06-10T01:47:12.943Z GET /side-channel-map/-/side-channel-map-1.0.1.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.944Z GET /sigstore/-/sigstore-3.1.0.tgz auth=absent
registry-1  | [registry] 2026-06-10T01:47:12.945Z GET /side-channel/-/side-channel-1.1.1.tgz auth=absent
