nginx-1  | 2026/06/10 01:48:29 [warn] 30#30: *444 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/8/42/0000000428 while reading upstream, client: 172.19.0.1, server: _, request: "GET /npm HTTP/1.1", upstream: "http://172.19.0.2:4873/npm", host: "localhost:28080"
nginx-1  | 172.19.0.1 - GET /npm HTTP/1.1 status=200 upstream=172.19.0.2:4873 cache=- uri="/npm" args="-"
nginx-1  | 172.19.0.1 - GET /zone.js/-/zone.js-0.15.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/zone.js/-/zone.js-0.15.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /validate-npm-package-name/-/validate-npm-package-name-6.0.2.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/validate-npm-package-name/-/validate-npm-package-name-6.0.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /zod-to-json-schema/-/zod-to-json-schema-3.25.2.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/zod-to-json-schema/-/zod-to-json-schema-3.25.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /yargs-parser/-/yargs-parser-22.0.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/yargs-parser/-/yargs-parser-22.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /zod/-/zod-3.25.76.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/zod/-/zod-3.25.76.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /yoctocolors-cjs/-/yoctocolors-cjs-2.1.3.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/yoctocolors-cjs/-/yoctocolors-cjs-2.1.3.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /yargs/-/yargs-18.0.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/yargs/-/yargs-18.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /yallist/-/yallist-3.1.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/yallist/-/yallist-3.1.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /wrappy/-/wrappy-1.0.2.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/wrappy/-/wrappy-1.0.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /y18n/-/y18n-5.0.8.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/y18n/-/y18n-5.0.8.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /which/-/which-2.0.2.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/which/-/which-2.0.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /wrap-ansi/-/wrap-ansi-7.0.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/wrap-ansi/-/wrap-ansi-7.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /wrap-ansi/-/wrap-ansi-6.2.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/wrap-ansi/-/wrap-ansi-6.2.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /weak-lru-cache/-/weak-lru-cache-1.2.2.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/weak-lru-cache/-/weak-lru-cache-1.2.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /watchpack/-/watchpack-2.4.4.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/watchpack/-/watchpack-2.4.4.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /vite/-/vite-7.1.2.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/vite/-/vite-7.1.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /vary/-/vary-1.1.2.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/vary/-/vary-1.1.2.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /update-browserslist-db/-/update-browserslist-db-1.2.3.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/update-browserslist-db/-/update-browserslist-db-1.2.3.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /uri-js/-/uri-js-4.4.1.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/uri-js/-/uri-js-4.4.1.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /validate-npm-package-license/-/validate-npm-package-license-3.0.4.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/validate-npm-package-license/-/validate-npm-package-license-3.0.4.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /unpipe/-/unpipe-1.0.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/unpipe/-/unpipe-1.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /unique-slug/-/unique-slug-5.0.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/unique-slug/-/unique-slug-5.0.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /tuf-js/-/tuf-js-3.1.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/tuf-js/-/tuf-js-3.1.0.tgz" args="-"
nginx-1  | 172.19.0.1 - GET /unique-filename/-/unique-filename-4.0.0.tgz HTTP/1.1 status=200 upstream=- cache=HIT uri="/unique-filename/-/unique-filename-4.0.0.tgz" args="-"
